1,4,6,,,67,85,92,198
31203,HgBa2CuO4,Hg1Ba2Cu1O4.2,,,Hg1201,K,94.2,"Phys.Rev.B, 62(2000)4148-4153"
11797,HgBa2CuO4,Hg1Ba2Cu1O4.21,,,Hg1201,K,80,"Phys.Rev.B,52(1995)462"
11838,HgBa2CuO4,Hg1Ba2Cu1O4.22,,,Hg1201,K,97,"Phys.Rev.B,52(1995)6854"
11796,HgBa2CuO4,Hg1Ba2Cu1O4.23,,,Hg1201,K,30,"Phys.Rev.B,52(1995)462"
12511,HgBa2CuO4+delta,Hg1Ba2Cu1O4.23,,,Hg1201,K,97,"Phys.Rev.B,53(1996)2811"
6477,HgBa2CuO4,Hg1Ba2Cu1O4.27,,,Hg1201,K,86.7,"Physica.C,251(1995)216-218"
11839,HgBa2CuO4,Hg1Ba2Cu1O4.27,,,Hg1201,K,91,"Phys.Rev.B,52(1995)6854"
10557,HgBa2CuO4+d,Hg1Ba2Cu1O4.28,,,Hg1201,K,80,"Phys.Rev.B,50(1994)10346"
10558,HgBa2CuO4+d,Hg1Ba2Cu1O4.28,,,Hg1201,K,87,"Phys.Rev.B,50(1994)10346"
12512,HgBa2CuO4+delta,Hg1Ba2Cu1O4.28,,,Hg1201,K,88,"Phys.Rev.B,53(1996)2811"
11840,HgBa2CuO4,Hg1Ba2Cu1O4.3,,,Hg1201,K,81,"Phys.Rev.B,52(1995)6854"
11841,HgBa2CuO4,Hg1Ba2Cu1O4.31,,,Hg1201,K,78,"Phys.Rev.B,52(1995)6854"
11842,HgBa2CuO4,Hg1Ba2Cu1O4.34,,,Hg1201,K,59,"Phys.Rev.B,52(1995)6854"
6478,HgBa2CuO4,Hg1Ba2Cu1O4.36,,,Hg1201,K,40,"Physica.C,251(1995)216-218"
10559,HgBa2CuO4+d,Hg1Ba2Cu1O4.36,,,Hg1201,K,40,"Phys.Rev.B,50(1994)10346"
11843,HgBa2CuO4,Hg1Ba2Cu1O4.36,,,Hg1201,K,56,"Phys.Rev.B,52(1995)6854"
11844,HgBa2CuO4,Hg1Ba2Cu1O4.37,,,Hg1201,K,40,"Phys.Rev.B,52(1995)6854"
33303,HgBa2CuO4+z,Hg1Ba2Cu1O4.37,,,Hg1201,K,35,"Phys.Rev.B, 60(1999)14617"
6479,HgBa2CuO4,Hg1Ba2Cu1O4.39,,,Hg1201,K,24.6,"Physica.C,251(1995)216-218"
10560,HgBa2CuO4+d,Hg1Ba2Cu1O4.39,,,Hg1201,K,22,"Phys.Rev.B,50(1994)10346"
11845,HgBa2CuO4,Hg1Ba2Cu1O4.39,,,Hg1201,K,26,"Phys.Rev.B,52(1995)6854"
10066,HgBa2CuO4,Hg1Ba2Cu1O4+d,,,,K,97,"Phys.Rev.B, 49(1994)3683"
10166,HgBa2CuO4,Hg1Ba2Cu1O4+d,,,Hg1201,K,92,"Phys.Rev.B, 49(1994)13075"
12200,HgBa2CuO4,Hg1Ba2Cu1O4+d,,,Hg1201,K,96,"Phys.Rev.B,53(1996)86"
12201,HgBa2CuO4,Hg1Ba2Cu1O4+d,,,Hg1201,K,52,"Phys.Rev.B,53(1996)86"
24010,HgBa2CuO4,Hg1Ba2Cu1O4+d,,,Hg1201,K,92,"Phys.Reve,B57(1998)1259"
13027,HgBa2CuO4,Hg1Ba2Cu1O4+x,,,Hg1201,K,96,"Phys.Rev.B,55(1997)3966"
16001,HgBa2CuO4+y,Hg1Ba2Cu1O4+y,,,Hg1201,K,91,"Phys.Rev.B,55(1997)12776"
18100,HgBa2CuO4,Hg1Ba2Cu1O4+y,,,Hg1201,K,97,"Phys.Rev.B,57(1998)3650-3662"
4204,HgBa2CuO4,Hg1Ba2Cu1O4+Z,,,Hg1201,K,64.5,"NATURE,362(1993)226"
4566,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,75,"Physica C, 222(1994)47-51"
4567,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,97,"Physica C, 222(1994)47-51"
4571,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,97,"Physica C,221(1994)1-10"
4608,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,94,"Physica C, 223(1994)207-212"
4642,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,94,"Appl.Phys.Lett., 63(1993)693"
5236,HgBa2CuO4+z,Hg1Ba2Cu1O4+z,,,Hg1201,K,96,"Physica C,233 (1994) 21-29"
5434,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,59,"Physica C.,243(1995)1-9"
5435,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,87,"Physica C.,243(1995)1-9"
5519,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,90,"Physica C.,241(1995)1-9"
5749,"(Hg,Cu)Ba2 Cu O4",Hg1Ba2Cu1O4+z,,,Hg1201,K,50,"Physica C.,245(1995)207-211"
6067,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,97,"Physica.C,255(1995)180-187"
6091,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,95,"Physica.C,255(1995)173-179"
6092,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,97,"Physica.C,255(1995)173-179"
6094,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,85,"Physica.C,255(1995)173-179"
6095,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,96,"Physica.C,255(1995)173-179"
6822,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,87,Solid State Commun.98(1996)333-336
7261,,Hg1Ba2Cu1O4+z,,,Hg1201,K,95.1,"Phys.Rev.B,54(1996)7505"
7859,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,91,"Physica.C,289(1997)153-160"
7860,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,35,"Physica.C,289(1997)153-160"
9039,HgBa2CuO4,Hg1Ba2Cu1O4+Z,,,Hg1201,K,92.5,"Physica C, 235-240 (1994) 1493-1494"
9548,HgBa2CuO4Fx,Hg1Ba2Cu1O4+z,,,Hg1201,K,97,"Phys.Rev.B,61(2000)14370-14373"
9549,HgBa2CuO4Fx,Hg1Ba2Cu1O4+z,,,Hg1201,K,96,"Phys.Rev.B,61(2000)14370-14373"
18909,HgBaCuO4+z,Hg1Ba2Cu1O4+z,,,Hg1201,K,95,"Phys. Rev. B, 58(1998)9536"
31100,HgBa2CuO4+z,Hg1Ba2Cu1O4+Z,,,Hg1201,K,72,"Phys.Rev.B,62,(2000)615-621"
31101,HgBa2CuO4+z,Hg1Ba2Cu1O4+Z,,,Hg1201,K,83,"Phys.Rev.B,62,(2000)615-621"
31102,HgBa2CuO4+z,Hg1Ba2Cu1O4+Z,,,Hg1201,K,97,"Phys.Rev.B,62,(2000)615-621"
31103,HgBa2CuO4+z,Hg1Ba2Cu1O4+Z,,,Hg1201,K,92,"Phys.Rev.B,62,(2000)615-621"
31104,HgBa2CuO4+z,Hg1Ba2Cu1O4+Z,,,Hg1201,K,86,"Phys.Rev.B,62,(2000)615-621"
33075,HgBa2CuO4,Hg1Ba2Cu1O4+z,,,Hg1201,K,98,"Physica C, 356(2001)141"
33304,HgBa2CuO4,Hg1Ba2Cu1O4+Z,,,Hg1201,K,93,"Phys.Rev.Lett., 79(1997)2320"
42097,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,26,"Phys.Rev.B, 63(2001)024504"
42098,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,46,"Phys.Rev.B, 63(2001)024504"
42099,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,62,"Phys.Rev.B, 63(2001)024504"
42100,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,72,"Phys.Rev.B, 63(2001)024504"
42101,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,77,"Phys.Rev.B, 63(2001)024504"
42102,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,83,"Phys.Rev.B, 63(2001)024504"
42103,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,91,"Phys.Rev.B, 63(2001)024504"
42104,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,95,"Phys.Rev.B, 63(2001)024504"
42105,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,98,"Phys.Rev.B, 63(2001)024504"
42106,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,92,"Phys.Rev.B, 63(2001)024504"
42107,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,86,"Phys.Rev.B, 63(2001)024504"
42108,HgBa2CuOz,Hg1Ba2Cu1O4+z,,,Hg1201,K,80,"Phys.Rev.B, 63(2001)024504"
6941,HgBa2CuOz,Hg1Ba2Cu1O6.932,,,Hg1201,K,50,"Physica.C,265(1996)13-18"
10360,HgBa2CuOy,Hg1Ba2Cu1Oy,,,Hg1201,K,96,"Phys.Rev.B,52(1995)3756"
6322,"(Hg,Tl)Ba2CuOz",Hg1Ba2Cu1Oz,,,Hg1201,K,92.3,"Physica.C,262(1996)1-6"
7442,HgBa2CuOz,Hg1Ba2Cu1Oz,,,Hg1201,K,88,J.Solid State Chem.121(1996)66
32102,HgBa2CuOz,Hg1Ba2Cu1OZ,,,Hg1201,K,89,"Phys.Rev.Lett.,78(1997)3757"
32103,HgBa2CuOz,Hg1Ba2Cu1OZ,,,Hg1201,K,75,"Phys.Rev.Lett.,78(1997)3757"
